Year,Month,State,cdd,hdd,pcp,tavg,tmax,tmin
2021,9,Kentucky,152.0,35.0,4.23,68.9,79.8,58.0
2021,9,Louisiana,367.0,0.0,6.91,76.9,86.4,67.4
2021,9,Maine,18.0,134.0,6.46,59.0,69.1,48.9
2021,9,Maryland,159.0,16.0,6.09,69.6,79.8,59.4
2021,9,Massachusetts,69.0,50.0,7.48,64.8,74.2,55.4
2021,9,Michigan,67.0,83.0,3.64,61.4,72.6,50.2
2021,9,Minnesota,44.0,135.0,2.91,61.6,74.0,49.2
2021,9,Mississippi,301.0,3.0,4.76,74.8,85.2,64.5
2021,9,Missouri,213.0,23.0,2.33,71.5,83.9,59.0
2021,9,Montana,23.0,279.0,0.43,58.3,74.1,42.6
2021,9,Nebraska,157.0,52.0,2.06,67.6,82.4,52.8
2021,9,Nevada,362.0,25.0,0.27,65.5,82.1,48.8
2021,9,New Hampshire,24.0,124.0,4.73,60.5,71.0,49.9
2021,9,New Jersey,123.0,26.0,6.34,68.7,78.4,59.0
2021,9,New Mexico,151.0,27.0,1.27,68.3,83.4,53.1
2021,9,New York,85.0,58.0,4.92,61.7,71.5,52.0
2021,9,North Carolina,190.0,14.0,3.21,70.6,81.5,59.7
2021,9,North Dakota,62.0,142.0,1.21,62.2,77.0,47.4
2021,9,Ohio,107.0,51.0,3.79,66.9,78.0,55.8
2021,9,Oklahoma,369.0,6.0,1.09,76.7,91.0,62.5
2021,9,Oregon,28.0,131.0,1.88,59.4,74.6,44.2
2021,9,Pennsylvania,88.0,56.0,6.98,64.3,74.7,53.9
2021,9,Rhode Island,80.0,38.0,7.47,66.4,75.1,57.8
2021,9,South Carolina,252.0,3.0,4.15,73.5,84.2,62.7
2021,9,South Dakota,100.0,106.0,2.03,65.0,79.6,50.4
2021,9,Tennessee,167.0,26.0,4.86,69.7,80.4,58.9
2021,9,Texas,423.0,0.0,1.41,78.2,91.6,64.9
2021,9,Utah,65.0,142.0,0.87,64.4,79.4,49.5
2021,9,Vermont,15.0,170.0,3.9,59.5,69.9,49.1
2021,9,Virginia,153.0,25.0,4.22,68.4,79.5,57.4
2021,9,Washington,14.0,184.0,3.12,58.0,69.8,46.3
2021,9,West Virginia,95.0,57.0,4.54,65.5,76.6,54.5
2021,9,Wisconsin,52.0,106.0,2.07,61.2,73.4,49.0
2021,9,Wyoming,34.0,212.0,0.85,58.1,74.5,41.7
